Baikal_T1

Pin, Unit, Type, Name, Side, Style
AC3, SYSTEM, input, BOOTCFG_0, left, 
AC4, SYSTEM, input, BOOTCFG_1, left, 
R2, SYSTEM, input, CLK25M_IN, left, 
R1, SYSTEM, output, CLK25M_OUT, left, 
K19, DDR, output, DDR_A[0], left, 
K24, DDR, output, DDR_A[1], left, 
H22, DDR, output, DDR_A[10], left, 
M20, DDR, output, DDR_A[11], left, 
K18, DDR, output, DDR_A[12], left, 
M19, DDR, output, DDR_A[13], left, 
L20, DDR, output, DDR_A[14], left, 
J21, DDR, output, DDR_A[15], left, 
K22, DDR, output, DDR_A[2], left, 
M22, DDR, output, DDR_A[3], left, 
M18, DDR, output, DDR_A[4], left, 
P21, DDR, output, DDR_A[5], left, 
N19, DDR, output, DDR_A[6], left, 
P19, DDR, output, DDR_A[7], left, 
P20, DDR, output, DDR_A[8], left, 
M21, DDR, output, DDR_A[9], left, 
V19, DDR, analog, DDR_ATO, right, 
N22, DDR, output, DDR_BA[0], right, 
J19, DDR, output, DDR_BA[1], right, 
G20, DDR, output, DDR_BA[2], right, 
J22, DDR, output, DDR_CAS#, right, inverted
M23, DDR, output, DDR_CK[0], right, 
L21, DDR, output, DDR_CK[1], right, 
M24, DDR, output, DDR_CK_N[0], right, inverted
L22, DDR, output, DDR_CK_N[1], right, inverted
K23, DDR, output, DDR_CKE[0], right, 
H20, DDR, output, DDR_CKE[1], right, 
H23, DDR, output, DDR_CS_N[0], right, inverted
J20, DDR, output, DDR_CS_N[1], right, inverted
AC22, DDR, output, DDR_DM[0], right, 
W21, DDR, output, DDR_DM[1], right, 
T22, DDR, output, DDR_DM[2], right, 
F22, DDR, output, DDR_DM[3], right, 
B22, DDR, output, DDR_DM[4], right, 
AA19, DDR, tristate, DDR_DQ[0], left, 
AA22, DDR, tristate, DDR_DQ[1], left, 
V24, DDR, tristate, DDR_DQ[10], left, 
Y22, DDR, tristate, DDR_DQ[11], left, 
Y21, DDR, tristate, DDR_DQ[12], left, 
AA24, DDR, tristate, DDR_DQ[13], left, 
AA23, DDR, tristate, DDR_DQ[14], left, 
V21, DDR, tristate, DDR_DQ[15], left, 
V20, DDR, tristate, DDR_DQ[16], left, 
P23, DDR, tristate, DDR_DQ[17], left, 
P24, DDR, tristate, DDR_DQ[18], left, 
R21, DDR, tristate, DDR_DQ[19], left, 
AB23, DDR, tristate, DDR_DQ[2], left, 
T21, DDR, tristate, DDR_DQ[20], left, 
U24, DDR, tristate, DDR_DQ[21], left, 
U21, DDR, tristate, DDR_DQ[22], left, 
T20, DDR, tristate, DDR_DQ[23], left, 
G21, DDR, tristate, DDR_DQ[24], left, 
E21, DDR, tristate, DDR_DQ[25], left, 
